一级标签	二级标签	场景解释-具体解释
学科知识	哲学	对世界基本和普遍之问题研究的学科，是关于世界观的理论体系，包括哲学，应用伦理
	经济学	一门研究人、企业、政府和社会如何在资源有限的情况下做出决策的社会科学，包括应用统计，税务，国际商务，保险，资产评估，数字经济，理论经济学，应用经济学
	法学	关于法律的科学。是以法律、法律现象以及其规律性为研究内容的科学，包括民族学，马克思主义理论，公安学，中共党史党建学纪检监察学，法律，社会工作，警务，知识产权，国际事务
	教育学	研究人类的教育活动及其规律的社会科学，包括教育学，心理学，体育学，教育，体育，国际中文教育，应用心理
	文学	用口语或文字作为媒介，表达客观世界和主观认识的方式和手段。包括中国语言文学，外国语言文学，新闻传播学，翻译，新闻与传播，出版
	历史学	以人类历史为研究对象的学科，也叫史学，包括考古学，中国史，世界史，博物馆
	理学	研究自然现象以及相关的规律和原理的学科，包括数学，物理学，化学，天文学，地理学，大气科学，海洋科学，地球物理学，地质学，生物学，系统科学，科学技术史，生态学，统计学，气象学
	工学	一门应用科学、数学和实践知识的学科，其目的是创造、理解、改进和应用各种技术和系统。各种带有“工程”二字的学科都应该归入其中
	农学	研究农业生产过程中的各种科学原理和技术的学科。它涵盖了从种植、养殖到农产品加工和销售的全过程，目的是提高农业生产效率，保障食品安全，以及促进农业的可持续发展。
	医学	医学是一门研究人类健康状况，以及预防、诊断和治疗疾病的科学。
	军事学	研究战争理论、战略、战术、军事历史、军事技术和军事组织等方面的学科。
	管理学	管理学是一门研究如何有效地组织和使用各种资源，以实现组织目标的学科，包括公共管理学，信息资源管理，工商管理，公共管理，会计，旅游管理，图书情报，工程管理，审计，管理科学与工程，工商管理学，农林经济管理
	艺术学	艺术学是一门研究艺术创作、欣赏、批评和理论的学科。它涵盖了各种艺术形式，包括绘画、雕塑、音乐、舞蹈、戏剧、电影、摄影，书法，涉及等。
	交叉学科	多种学科知识交叉的一门学科，包括集成电路科学与工程，国家安全学，设计学，遥感科学与技术，智能科学与技术，纳米科学与工程，区域国别学，文物，密码
教育	学校机构	包括幼儿园，小学，中学，大学，科研院所，职业院校，官方教育机构等机构
	课外辅导	面向小初高的课外辅导机构与课程，包括小学辅导，初中辅导，高中辅导，其他辅导等
	职业技能	各类职业技能的教育培训机构、课程等，注意【语言培训】在此类目下
	资格认证	各类职业的执业资格认证培训机构、课程等，包括公务员考试，财会金融执业，法律执业，教师执业，医疗卫生执业，建筑工程执业，驾照考试
	才艺培训	覆盖各个年龄段的才艺培训，包括美术培训，舞蹈培训，音乐培训，书法培训，体育培训
	孕期启蒙教育	包括孕期教育，启蒙期教育，早期教育
	小学教育	小学阶段的常规课程，包括小学语文，小学数学，小学英语
	初中教育	初中阶段的常规课程，初中语文，初中数学，初中英语，初中物理，初中化学，初中生物，初中历史，初中地理，初中政治
	高中教育	高中阶段的常规课程，高中语文，高中数学，高中英语，高中物理，高中化学，高中生物，高中历史，高中地理，高中政治
	高等教育	包括专升本、专插本等学历培训相关，或本科、硕士、博士的课程、机构培养计划、学习规划等
	国际教育	面向海外的考研培训、留学的课程、机构培养计划、学习规划等
	家庭教育	面向家庭的教育培训课程机构等，包括亲子教育，两性教育，家庭伦理教育
	党政教育	包括思想政治教育、党政理论、党史、廉政、政策法规、红色文化等知识教育
医疗健康	医疗机构	各类医疗机构，包括医院、诊所、社康，体检机构
	心理健康	心理健康相关的服务需求，包括心理咨询，心理治疗
	药品器械	包含医疗药品和医疗器械
